function,function, time_us
,time_us
Tempo por Loop, 23135.00000000
Tempo por Loop, 22806.00000000
Tempo por Loop, 24373.00000000
Tempo por Loop, 22881.00000000
Tempo por Loop, 24641.00000000
Tempo por Loop, 22832.00000000
Tempo por Loop, 21824.00000000
Tempo por Loop, 26221.00000000
Tempo por Loop, 23243.00000000
Tempo por Loop, 21682.00000000
Tempo por Loop, 25421.00000000
Tempo por Loop, 22309.00000000
Tempo por Loop, 23307.00000000
Tempo por Loop, 20775.00000000
Tempo por Loop, 26538.00000000
Tempo por Loop, 22871.00000000
Tempo por Loop, 21049.00000000
Tempo por Loop, 27478.00000000
Tempo por Loop, 21289.00000000
Tempo por Loop, 22961.00000000
Tempo por Loop, 24390.00000000
Tempo por Loop, 22686.00000000
Tempo por Loop, 25616.00000000
Tempo por Loop, 22340.00000000
Tempo por Loop, 20443.00000000
Tempo por Loop, 20912.00000000
Tempo por Loop, 25084.00000000
Tempo por Loop, 22212.00000000
Tempo por Loop, 24179.00000000
Tempo por Loop, 28233.00000000
Tempo por Loop, 22550.00000000
Tempo por Loop, 24865.00000000
Tempo por Loop, 22043.00000000
Tempo por Loop, 21247.00000000
Tempo por Loop, 21025.00000000
Tempo por Loop, 26631.00000000
Tempo por Loop, 22755.00000000
Tempo por Loop, 21250.00000000
Tempo por Loop, 26579.00000000
Tempo por Loop, 21727.00000000
Tempo por Loop, 22501.00000000
Tempo por Loop, 26341.00000000
Tempo por Loop, 20856.00000000
Tempo por Loop, 28337.00000000
Tempo por Loop, 28754.00000000
Tempo por Loop, 21716.00000000
Tempo por Loop, 24045.00000000
Tempo por Loop, 22598.00000000
Tempo por Loop, 22957.00000000
Tempo por Loop, 24330.00000000
Tempo por Loop, 22879.00000000
Tempo por Loop, 22798.00000000
Tempo por Loop, 24626.00000000
Tempo por Loop, 23476.00000000
Tempo por Loop, 20814.00000000
Tempo por Loop, 26558.00000000
Tempo por Loop, 22690.00000000
Tempo por Loop, 21482.00000000
Tempo por Loop, 21285.00000000
Tempo por Loop, 25865.00000000
Tempo por Loop, 23049.00000000
Tempo por Loop, 22544.00000000
Tempo por Loop, 26392.00000000
Tempo por Loop, 22812.00000000
Tempo por Loop, 25250.00000000
Tempo por Loop, 25334.00000000
Tempo por Loop, 21410.00000000
Tempo por Loop, 22521.00000000
Tempo por Loop, 24339.00000000
Tempo por Loop, 24815.00000000
Tempo por Loop, 26776.00000000
Tempo por Loop, 22344.00000000
Tempo por Loop, 21220.00000000
Tempo por Loop, 25951.00000000
Tempo por Loop, 22602.00000000
Tempo por Loop, 21279.00000000
Tempo por Loop, 36829.00000000
Tempo por Loop, 21884.00000000
Tempo por Loop, 21037.00000000
Tempo por Loop, 23876.00000000
Tempo por Loop, 22102.00000000
Tempo por Loop, 22236.00000000
Tempo por Loop, 22070.00000000
Tempo por Loop, 26216.00000000
Tempo por Loop, 21847.00000000
Tempo por Loop, 25965.00000000
Tempo por Loop, 22735.00000000
Tempo por Loop, 22155.00000000
Tempo por Loop, 22766.00000000
Tempo por Loop, 24449.00000000
Tempo por Loop, 22787.00000000
Tempo por Loop, 23929.00000000
Tempo por Loop, 22432.00000000
Tempo por Loop, 23815.00000000
Tempo por Loop, 25023.00000000
Tempo por Loop, 22585.00000000
Tempo por Loop, 23324.00000000
Tempo por Loop, 20960.00000000
Tempo por Loop, 24431.00000000
Tempo por Loop, 28933.00000000
Tempo por Loop, 26769.00000000
Tempo por Loop, 21974.00000000
Tempo por Loop, 23005.00000000
Tempo por Loop, 25716.00000000
Tempo por Loop, 21756.00000000
Tempo por Loop, 20785.00000000
Tempo por Loop, 26540.00000000
Tempo por Loop, 23738.00000000
Tempo por Loop, 22037.00000000
Tempo por Loop, 22975.00000000
Tempo por Loop, 24567.00000000
Tempo por Loop, 23182.00000000
Tempo por Loop, 22585.00000000
Tempo por Loop, 24648.00000000
Tempo por Loop, 22521.00000000
Tempo por Loop, 20524.00000000
Tempo por Loop, 25680.00000000
Tempo por Loop, 21664.00000000
