function,function,time_us
,time_us
Tempo por Loop, 47338.00000000
Tempo por Loop, 42131.00000000
Tempo por Loop, 44814.00000000
Tempo por Loop, 45357.00000000
Tempo por Loop, 43280.00000000
Tempo por Loop, 43538.00000000
Tempo por Loop, 43562.00000000
Tempo por Loop, 45052.00000000
Tempo por Loop, 43485.00000000
Tempo por Loop, 43404.00000000
Tempo por Loop, 55514.00000000
Tempo por Loop, 44557.00000000
Tempo por Loop, 43476.00000000
Tempo por Loop, 43814.00000000
Tempo por Loop, 49458.00000000
Tempo por Loop, 48071.00000000
Tempo por Loop, 43647.00000000
Tempo por Loop, 42303.00000000
Tempo por Loop, 44968.00000000
Tempo por Loop, 43596.00000000
Tempo por Loop, 44100.00000000
Tempo por Loop, 46719.00000000
Tempo por Loop, 43833.00000000
Tempo por Loop, 43420.00000000
Tempo por Loop, 40504.00000000
Tempo por Loop, 38203.00000000
Tempo por Loop, 40122.00000000
Tempo por Loop, 39995.00000000
Tempo por Loop, 39293.00000000
Tempo por Loop, 42293.00000000
Tempo por Loop, 38328.00000000
Tempo por Loop, 41268.00000000
Tempo por Loop, 38908.00000000
Tempo por Loop, 41714.00000000
Tempo por Loop, 39073.00000000
Tempo por Loop, 40160.00000000
Tempo por Loop, 44809.00000000
Tempo por Loop, 42373.00000000
Tempo por Loop, 43570.00000000
Tempo por Loop, 39462.00000000
Tempo por Loop, 39227.00000000
Tempo por Loop, 40785.00000000
Tempo por Loop, 39408.00000000
Tempo por Loop, 37732.00000000
Tempo por Loop, 40430.00000000
Tempo por Loop, 39675.00000000
Tempo por Loop, 39362.00000000
Tempo por Loop, 48898.00000000
Tempo por Loop, 40349.00000000
Tempo por Loop, 38372.00000000
Tempo por Loop, 37843.00000000
Tempo por Loop, 40863.00000000
Tempo por Loop, 40754.00000000
Tempo por Loop, 40065.00000000
Tempo por Loop, 39413.00000000
Tempo por Loop, 40994.00000000
Tempo por Loop, 39457.00000000
Tempo por Loop, 39264.00000000
Tempo por Loop, 38906.00000000
Tempo por Loop, 40642.00000000
Tempo por Loop, 38797.00000000
Tempo por Loop, 38799.00000000
Tempo por Loop, 41861.00000000
Tempo por Loop, 38146.00000000
Tempo por Loop, 49127.00000000
Tempo por Loop, 39930.00000000
Tempo por Loop, 39372.00000000
Tempo por Loop, 38885.00000000
Tempo por Loop, 40657.00000000
Tempo por Loop, 38914.00000000
Tempo por Loop, 38399.00000000
Tempo por Loop, 41342.00000000
Tempo por Loop, 39372.00000000
Tempo por Loop, 38435.00000000
Tempo por Loop, 48034.00000000
Tempo por Loop, 44272.00000000
Tempo por Loop, 43440.00000000
Tempo por Loop, 45190.00000000
Tempo por Loop, 45405.00000000
Tempo por Loop, 43545.00000000
Tempo por Loop, 45279.00000000
Tempo por Loop, 43238.00000000
Tempo por Loop, 42171.00000000
Tempo por Loop, 42367.00000000
Tempo por Loop, 46141.00000000
Tempo por Loop, 43410.00000000
Tempo por Loop, 44177.00000000
Tempo por Loop, 115151.00000000
Tempo por Loop, 59488.00000000
Tempo por Loop, 58738.00000000
Tempo por Loop, 49486.00000000
Tempo por Loop, 43927.00000000
Tempo por Loop, 44416.00000000
Tempo por Loop, 45788.00000000
Tempo por Loop, 41688.00000000
Tempo por Loop, 42539.00000000
Tempo por Loop, 44619.00000000
Tempo por Loop, 43069.00000000
Tempo por Loop, 41849.00000000
Tempo por Loop, 44925.00000000
Tempo por Loop, 44376.00000000
Tempo por Loop, 43760.00000000
Tempo por Loop, 43192.00000000
Tempo por Loop, 42920.00000000
Tempo por Loop, 42600.00000000
Tempo por Loop, 43381.00000000
Tempo por Loop, 44989.00000000
Tempo por Loop, 39472.00000000
Tempo por Loop, 48885.00000000
Tempo por Loop, 45318.00000000
Tempo por Loop, 37972.00000000
Tempo por Loop, 41249.00000000
Tempo por Loop, 39377.00000000
Tempo por Loop, 39499.00000000
Tempo por Loop, 43660.00000000
Tempo por Loop, 39443.00000000
Tempo por Loop, 38419.00000000
Tempo por Loop, 39709.00000000
Tempo por Loop, 47117.00000000
Tempo por Loop, 39713.00000000
Tempo por Loop, 39853.00000000
Tempo por Loop, 39550.00000000
Tempo por Loop, 38854.00000000
Tempo por Loop, 40890.00000000
Tempo por Loop, 40109.00000000
Tempo por Loop, 40515.00000000
Tempo por Loop, 40916.00000000
Tempo por Loop, 38725.00000000
Tempo por Loop, 41504.00000000
Tempo por Loop, 38040.00000000
Tempo por Loop, 39046.00000000
Tempo por Loop, 38006.00000000
Tempo por Loop, 41212.00000000
