function,function,time_us
,time_us
Tempo por Loop, 23269.00000000
Tempo por Loop, 28590.00000000
Tempo por Loop, 30219.00000000
Tempo por Loop, 24550.00000000
Tempo por Loop, 23231.00000000
Tempo por Loop, 21427.00000000
Tempo por Loop, 24192.00000000
Tempo por Loop, 23129.00000000
Tempo por Loop, 23251.00000000
Tempo por Loop, 23979.00000000
Tempo por Loop, 22493.00000000
Tempo por Loop, 24130.00000000
Tempo por Loop, 22556.00000000
Tempo por Loop, 23076.00000000
Tempo por Loop, 21697.00000000
Tempo por Loop, 26132.00000000
Tempo por Loop, 23287.00000000
Tempo por Loop, 24784.00000000
Tempo por Loop, 21589.00000000
Tempo por Loop, 23465.00000000
Tempo por Loop, 23142.00000000
Tempo por Loop, 24696.00000000
Tempo por Loop, 24444.00000000
Tempo por Loop, 26211.00000000
Tempo por Loop, 21076.00000000
Tempo por Loop, 20793.00000000
Tempo por Loop, 26229.00000000
Tempo por Loop, 22867.00000000
Tempo por Loop, 21175.00000000
Tempo por Loop, 25878.00000000
Tempo por Loop, 22742.00000000
Tempo por Loop, 21123.00000000
Tempo por Loop, 23845.00000000
Tempo por Loop, 22406.00000000
Tempo por Loop, 22502.00000000
Tempo por Loop, 33770.00000000
Tempo por Loop, 24505.00000000
Tempo por Loop, 20888.00000000
Tempo por Loop, 22423.00000000
Tempo por Loop, 24289.00000000
Tempo por Loop, 22444.00000000
Tempo por Loop, 26379.00000000
Tempo por Loop, 22574.00000000
Tempo por Loop, 20430.00000000
Tempo por Loop, 23819.00000000
Tempo por Loop, 22717.00000000
Tempo por Loop, 22566.00000000
Tempo por Loop, 24582.00000000
Tempo por Loop, 22583.00000000
Tempo por Loop, 30574.00000000
Tempo por Loop, 24729.00000000
Tempo por Loop, 22811.00000000
Tempo por Loop, 20763.00000000
Tempo por Loop, 26061.00000000
Tempo por Loop, 22240.00000000
Tempo por Loop, 23589.00000000
Tempo por Loop, 25898.00000000
Tempo por Loop, 21206.00000000
Tempo por Loop, 22259.00000000
Tempo por Loop, 23915.00000000
Tempo por Loop, 22904.00000000
Tempo por Loop, 21266.00000000
Tempo por Loop, 23043.00000000
Tempo por Loop, 26312.00000000
Tempo por Loop, 21637.00000000
Tempo por Loop, 21391.00000000
Tempo por Loop, 26482.00000000
Tempo por Loop, 23342.00000000
Tempo por Loop, 24633.00000000
Tempo por Loop, 23218.00000000
Tempo por Loop, 21070.00000000
Tempo por Loop, 22283.00000000
Tempo por Loop, 26216.00000000
Tempo por Loop, 21496.00000000
Tempo por Loop, 27534.00000000
Tempo por Loop, 26439.00000000
Tempo por Loop, 21494.00000000
Tempo por Loop, 21438.00000000
Tempo por Loop, 26238.00000000
Tempo por Loop, 23198.00000000
Tempo por Loop, 24325.00000000
Tempo por Loop, 22476.00000000
Tempo por Loop, 22826.00000000
Tempo por Loop, 21218.00000000
Tempo por Loop, 23992.00000000
Tempo por Loop, 22360.00000000
Tempo por Loop, 22150.00000000
Tempo por Loop, 23976.00000000
Tempo por Loop, 22998.00000000
Tempo por Loop, 25873.00000000
Tempo por Loop, 21392.00000000
Tempo por Loop, 21216.00000000
Tempo por Loop, 22321.00000000
Tempo por Loop, 26039.00000000
Tempo por Loop, 23594.00000000
Tempo por Loop, 21676.00000000
Tempo por Loop, 24422.00000000
Tempo por Loop, 28766.00000000
Tempo por Loop, 22807.00000000
Tempo por Loop, 24473.00000000
Tempo por Loop, 24287.00000000
Tempo por Loop, 26118.00000000
Tempo por Loop, 28144.00000000
Tempo por Loop, 31431.00000000
Tempo por Loop, 21002.00000000
Tempo por Loop, 26256.00000000
Tempo por Loop, 21308.00000000
Tempo por Loop, 23431.00000000
Tempo por Loop, 25681.00000000
Tempo por Loop, 21279.00000000
Tempo por Loop, 21675.00000000
Tempo por Loop, 25740.00000000
Tempo por Loop, 23394.00000000
Tempo por Loop, 20952.00000000
Tempo por Loop, 26340.00000000
Tempo por Loop, 22982.00000000
Tempo por Loop, 25268.00000000
Tempo por Loop, 23160.00000000
Tempo por Loop, 21184.00000000
